column	grain	dtype	status	required_for	why
prediction_id	row	str	new	everything	one row per prediction, not per cell. Block B's helicity and register columns live only in a 640-row cell-level file; a ladder cannot be argued from cell medians.
item	row	str	new	everything	G1a, P1b, G3a ... the RUN_MATRIX item that dispatched the row
arm	row	str	new	everything	ladder, intermediate_nested, a5null, composition_controls ...
receptor_slug	row	str	exists	everything	
receptor_uniprot_acc	row	str	new	chain identity	which record; Block A's panel FASTA carries two sequences each for ADRB1, FSHR and MCHR1
receptor_seq_sha256	row	str	new	chain identity	settles which of two variant sequences a row consumed. SEQ_RECEPTORS.md owns the bytes
receptor_species	row	str	new	cross-species audit	SEQUENCES.md 3.3; three of C1's 64 are non-human and two of them are in the provisional CORE-32
partner_species	row	str	new	cross-species audit	
cross_species_partner	row	bool	new	cross-species audit	true wherever receptor_species != partner_species. No block has ever carried this column and the three mismatches were invisible as a result
partner_construct_id	row	str	new	everything	the g1_partner_registry.tsv key, e.g. R3_ct21 / ct21@scramble#2
partner_seq_sha256	row	str	new	everything	SEQUENCES.md 0.1. Block B hashed the FASTA; Block D hashed only the nanobody chains, which is why its three non-Gs cognate arms cannot be resolved from the drop
n_partner_aa	row	int	exists (cell)	every rung verifiable from data	promote to row. Makes every rung checkable against the dispatch note rather than trusting it
partner_ga_family	row	str	new	family contrasts	Gs/Gi1/Gq/G13/Gt1...; resolved from COUPLING.md at dispatch, recorded per row
partner_ga_accession	row	str	new	family contrasts	the UniProt record the rung was sliced from
chain_role_json	row	str	new	multi-peptide cells	{chain_id: receptor|partner|peptide_ligand|gbeta|ggamma} with a sha256 each. A model handed two unlabelled 21-mers can place either in the intracellular crevice; endothelin1 is 21 aa, exactly ct21's length
n_chains	row	int	new	R8_hetero	
partner_chain_order	row	str	new	R8_hetero	nothing in any block establishes that the backbones are order-invariant on three chains
partner_msa_mode	row	str	new	the whole ladder	off (primary) / on (E1.9 contrast). SEQUENCES.md 6.1
partner_msa_depth	row	int	new	the whole ladder	the ladder is uninterpretable without it: a 21-aa conserved query pulled 732 homologs in this project's own cache while a designed 40-mer pulled 1
partner_msa_depth_uniref90	row	int	new	the whole ladder	
receptor_msa_depth	row	int	exists	joins to Group 8	on in Group 1 everywhere; varying it is Group 8
partner_chain_helicity_frac	row	float	new	reach vs recognition	DSSP H/G/I over the WHOLE supplied chain. Generalises partner_tail11_helicity_frac, which is meaningless at the 11-mer rung where the tail is the chain. tran2026nanogs: an unstapled linear alpha5 peptide is a random coil and does nothing
partner_helix_span_len	row	int	new	the length hypothesis	number of residues in the LONGEST contiguous helical run on the supplied chain. A fraction cannot express the hypothesis: the 11-mer and the 21-mer are both reported helical, differing in helix LENGTH (a short helix near the C terminus vs a long one spanning most of the 21-mer). The predicted covariate is continuous and monotone in length, not a switch
partner_helix_span_start	row	int	new	the length hypothesis	first residue of that run, numbered from the supplied chain's N terminus
